                                     | Core 0    
  Instructions                       |    1383041
  Cycles                             |    3813003
  IPC                                |       0.36
  Time (ns)                          |    1433460
  Idle time (ns)                     |      99123
  Idle time (%)                      |       6.9%
Branch predictor stats               |           
  num correct                        |     110005
  num incorrect                      |          9
  misprediction rate                 |      0.01%
  mpki                               |       0.01
TLB Summary                          |           
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |     213020
    num cache misses                 |         18
    miss rate                        |      0.01%
    mpki                             |       0.01
  Cache L1-D                         |           
    num cache accesses               |     941049
    num cache misses                 |         13
    miss rate                        |      0.00%
    mpki                             |       0.01
  Cache L2                           |           
    num cache accesses               |         33
    num cache misses                 |         31
    miss rate                        |     93.94%
    mpki                             |       0.02
  Cache L3                           |           
    num cache accesses               |         33
    num cache misses                 |         31
    miss rate                        |     93.94%
    mpki                             |       0.02
DRAM summary                         |           
  num dram accesses                  |         30
  average dram access latency (ns)   |     116.96
  average dram queueing delay        |      63.53
  average dram bandwidth utilization |      0.00%
Coherency Traffic                    |           
  num loads from dram                |          9
  num loads from dram cache          |          0
  num loads from remote cache        |          0
