                                     | Core 0     | Core 1    
  Instructions                       |    1397212 |    1399529
  Cycles                             |   11511358 |   11511358
  IPC                                |       0.12 |       0.12
  Time (ns)                          |    4327578 |    4327578
  Idle time (ns)                     |    2979778 |    2982832
  Idle time (%)                      |      68.9% |      68.9%
Branch predictor stats               |            |           
  num correct                        |     110426 |     110881
  num incorrect                      |        186 |        189
  misprediction rate                 |      0.17% |      0.17%
  mpki                               |       0.13 |       0.14
TLB Summary                          |            |           
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |     215223 |     214328
    num cache misses                 |         22 |         24
    miss rate                        |      0.01% |      0.01%
    mpki                             |       0.02 |       0.02
  Cache L1-D                         |            |           
    num cache accesses               |     942444 |     943366
    num cache misses                 |       1585 |       1629
    miss rate                        |      0.17% |      0.17%
    mpki                             |       1.13 |       1.16
  Cache L2                           |            |           
    num cache accesses               |       1721 |       1722
    num cache misses                 |         30 |         11
    miss rate                        |      1.74% |      0.64%
    mpki                             |       0.02 |       0.01
  Cache L3                           |            |           
    num cache accesses               |         32 |         13
    num cache misses                 |         30 |         11
    miss rate                        |     93.75% |     84.62%
    mpki                             |       0.02 |       0.01
DRAM summary                         |            |           
  num dram accesses                  |         40 |          0
  average dram access latency (ns)   |      99.80 |        inf
  average dram queueing delay        |      46.37 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |          8 |          4
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
