                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |     100535 |     100402 |     100705 |     100405
  Cycles                             |     752048 |     752048 |     752048 |     752048
  IPC                                |       0.13 |       0.13 |       0.13 |       0.13
  Time (ns)                          |     282725 |     282725 |     282725 |     282725
  Idle time (ns)                     |     257374 |     257460 |     257064 |     257766
  Idle time (%)                      |      91.0% |      91.1% |      90.9% |      91.2%
Branch predictor stats               |            |            |            |           
  num correct                        |      10761 |      10797 |      10783 |      10826
  num incorrect                      |        552 |        511 |        542 |        489
  misprediction rate                 |      4.88% |      4.52% |      4.79% |      4.32%
  mpki                               |       5.49 |       5.09 |       5.38 |       4.87
TLB Summary                          |            |            |            |           
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |      15797 |      15772 |      15831 |      15752
    num cache misses                 |         22 |         24 |         24 |         24
    miss rate                        |      0.14% |      0.15% |      0.15% |      0.15%
    mpki                             |       0.22 |       0.24 |       0.24 |       0.24
  Cache L1-D                         |            |            |            |           
    num cache accesses               |      51034 |      51010 |      51075 |      51022
    num cache misses                 |       2264 |       2389 |       2422 |       2331
    miss rate                        |      4.44% |      4.68% |      4.74% |      4.57%
    mpki                             |      22.52 |      23.79 |      24.05 |      23.22
  Cache L2                           |            |            |            |           
    num cache accesses               |       2988 |       3222 |       3244 |       3088
    num cache misses                 |         12 |         22 |         15 |          8
    miss rate                        |      0.40% |      0.68% |      0.46% |      0.26%
    mpki                             |       0.12 |       0.22 |       0.15 |       0.08
  Cache L3                           |            |            |            |           
    num cache accesses               |         13 |         25 |         17 |         10
    num cache misses                 |         12 |         22 |         15 |          8
    miss rate                        |     92.31% |     88.00% |     88.24% |     80.00%
    mpki                             |       0.12 |       0.22 |       0.15 |       0.08
DRAM summary                         |            |            |            |           
  num dram accesses                  |         48 |          0 |          0 |          0
  average dram access latency (ns)   |     125.79 |        inf |        inf |        inf
  average dram queueing delay        |      72.36 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          3 |          8 |          5 |          3
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
