                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |     102965 |     102697 |     103012 |     102682 |     102680 |     102494 |     102500 |     103058
  Cycles                             |    1191188 |    1191188 |    1191188 |    1191188 |    1191188 |    1191188 |    1191188 |    1191188
  IPC                                |       0.09 |       0.09 |       0.09 |       0.09 |       0.09 |       0.09 |       0.09 |       0.09
  Time (ns)                          |     447815 |     447815 |     447815 |     447815 |     447815 |     447815 |     447815 |     447815
  Idle time (ns)                     |     385195 |     388044 |     387535 |     384377 |     387334 |     384108 |     391408 |     384632
  Idle time (%)                      |      86.0% |      86.7% |      86.5% |      85.8% |      86.5% |      85.8% |      87.4% |      85.9%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |      10777 |      10805 |      10776 |      10772 |      10814 |      10806 |      10857 |      10817
  num incorrect                      |        682 |        650 |        695 |        668 |        643 |        624 |        580 |        662
  misprediction rate                 |      5.95% |      5.67% |      6.06% |      5.84% |      5.61% |      5.46% |      5.07% |      5.77%
  mpki                               |       6.62 |       6.33 |       6.75 |       6.51 |       6.26 |       6.09 |       5.66 |       6.42
TLB Summary                          |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |      16115 |      16051 |      16142 |      16077 |      16037 |      16044 |      15961 |      16089
    num cache misses                 |         22 |         23 |         22 |         23 |         23 |         23 |         23 |         23
    miss rate                        |      0.14% |      0.14% |      0.14% |      0.14% |      0.14% |      0.14% |      0.14% |      0.14%
    mpki                             |       0.21 |       0.22 |       0.21 |       0.22 |       0.22 |       0.22 |       0.22 |       0.22
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |      51494 |      51471 |      51552 |      51417 |      51463 |      51411 |      51371 |      51527
    num cache misses                 |       2566 |       2544 |       2614 |       2457 |       2427 |       2684 |       2175 |       2571
    miss rate                        |      4.98% |      4.94% |      5.07% |      4.78% |      4.72% |      5.22% |      4.23% |      4.99%
    mpki                             |      24.92 |      24.77 |      25.38 |      23.93 |      23.64 |      26.19 |      21.22 |      24.95
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |       3348 |       3340 |       3426 |       3283 |       3100 |       3389 |       2750 |       3303
    num cache misses                 |       1132 |       1111 |       1001 |       1169 |       1121 |       1384 |       1074 |       1207
    miss rate                        |     33.81% |     33.26% |     29.22% |     35.61% |     36.16% |     40.84% |     39.05% |     36.54%
    mpki                             |      10.99 |      10.82 |       9.72 |      11.38 |      10.92 |      13.50 |      10.48 |      11.71
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |       1570 |       1577 |       1457 |       1696 |       1478 |       1815 |       1386 |       1626
    num cache misses                 |         17 |          7 |          8 |          9 |          8 |         23 |         10 |          6
    miss rate                        |      1.08% |      0.44% |      0.55% |      0.53% |      0.54% |      1.27% |      0.72% |      0.37%
    mpki                             |       0.17 |       0.07 |       0.08 |       0.09 |       0.08 |       0.22 |       0.10 |       0.06
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |         64 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     135.56 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      82.13 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |          5 |          5 |          6 |          5 |          3 |          9 |          3 |          3
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
