                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |     110768 |     110560 |     111354 |     110645 |     111229 |     111726 |     110811 |     110623 |     111284 |     109724 |     111145 |     111799 |     110842 |     111174 |     110322 |     110710
  Cycles                             |    4065809 |    4065809 |    4065809 |    4065809 |    4065809 |    4065809 |    4065809 |    4065809 |    4065809 |    4065809 |    4065809 |    4065809 |    4065809 |    4065809 |    4065809 |    4065809
  IPC                                |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03
  Time (ns)                          |    1528500 |    1528500 |    1528500 |    1528500 |    1528500 |    1528500 |    1528500 |    1528500 |    1528500 |    1528500 |    1528500 |    1528500 |    1528500 |    1528500 |    1528500 |    1528500
  Idle time (ns)                     |    1352095 |    1360364 |    1357784 |    1363327 |    1356150 |    1362354 |    1368183 |    1365323 |    1366082 |    1372912 |    1355609 |    1364633 |    1368700 |    1360962 |    1367811 |    1357263
  Idle time (%)                      |      88.5% |      89.0% |      88.8% |      89.2% |      88.7% |      89.1% |      89.5% |      89.3% |      89.4% |      89.8% |      88.7% |      89.3% |      89.5% |      89.0% |      89.5% |      88.8%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |      10969 |      10938 |      10943 |      10985 |      10968 |      10998 |      11010 |      10970 |      11005 |      10940 |      10959 |      11039 |      11054 |      10953 |      10898 |      10934
  num incorrect                      |       1002 |       1021 |       1059 |        976 |       1042 |       1072 |        977 |       1013 |       1030 |        961 |       1037 |       1015 |        936 |       1052 |       1042 |       1024
  misprediction rate                 |      8.37% |      8.54% |      8.82% |      8.16% |      8.68% |      8.88% |      8.15% |      8.45% |      8.56% |      8.07% |      8.64% |      8.42% |      7.81% |      8.76% |      8.73% |      8.56%
  mpki                               |       9.05 |       9.23 |       9.51 |       8.82 |       9.37 |       9.59 |       8.82 |       9.16 |       9.26 |       8.76 |       9.33 |       9.08 |       8.44 |       9.46 |       9.45 |       9.25
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      17209 |      17183 |      17372 |      17218 |      17240 |      17215 |      17110 |      17068 |      17208 |      17016 |      17280 |      17232 |      17122 |      17237 |      17164 |      17260
    num cache misses                 |         22 |         23 |         23 |         22 |         23 |         23 |         23 |         23 |         23 |         23 |         23 |         23 |         23 |         23 |         23 |         23
