                                     | Core 0     | Core 1    
  Instructions                       |     380323 |     369437
  Cycles                             |     731505 |     731505
  IPC                                |       0.52 |       0.51
  Time (ns)                          |     275002 |     275002
  Idle time (ns)                     |     100172 |     103412
  Idle time (%)                      |      36.4% |      37.6%
Branch predictor stats               |            |           
  num correct                        |      45518 |      43682
  num incorrect                      |        210 |        234
  misprediction rate                 |      0.46% |      0.53%
  mpki                               |       0.55 |       0.63
TLB Summary                          |            |           
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |      11020 |      11025
    num cache misses                 |         16 |         17
    miss rate                        |      0.15% |      0.15%
    mpki                             |       0.04 |       0.05
  Cache L1-D                         |            |           
    num cache accesses               |     220191 |     214755
    num cache misses                 |       4418 |       4242
    miss rate                        |      2.01% |      1.98%
    mpki                             |      11.62 |      11.48
  Cache L2                           |            |           
    num cache accesses               |       4436 |       4437
    num cache misses                 |         23 |         10
    miss rate                        |      0.52% |      0.23%
    mpki                             |       0.06 |       0.03
  Cache L3                           |            |           
    num cache accesses               |         25 |         12
    num cache misses                 |         23 |         10
    miss rate                        |     92.00% |     83.33%
    mpki                             |       0.06 |       0.03
DRAM summary                         |            |           
  num dram accesses                  |         29 |          0
  average dram access latency (ns)   |      92.42 |        inf
  average dram queueing delay        |      38.99 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |          5 |          3
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
