                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |     116608 |     123187 |     108429 |     121173
  Cycles                             |     413478 |     413478 |     413478 |     413478
  IPC                                |       0.28 |       0.30 |       0.26 |       0.29
  Time (ns)                          |     155443 |     155443 |     155443 |     155443
  Idle time (ns)                     |     103626 |     100769 |     107363 |     103964
  Idle time (%)                      |      66.7% |      64.8% |      69.1% |      66.9%
Branch predictor stats               |            |            |            |           
  num correct                        |      12052 |      13198 |      10673 |      12896
  num incorrect                      |        224 |        171 |        236 |        137
  misprediction rate                 |      1.82% |      1.28% |      2.16% |      1.05%
  mpki                               |       1.92 |       1.39 |       2.18 |       1.13
TLB Summary                          |            |            |            |           
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |      11023 |      11035 |      11036 |      11036
    num cache misses                 |         17 |         18 |         18 |         18
    miss rate                        |      0.15% |      0.16% |      0.16% |      0.16%
    mpki                             |       0.15 |       0.15 |       0.17 |       0.15
  Cache L1-D                         |            |            |            |           
    num cache accesses               |      65834 |      69109 |      61731 |      68103
    num cache misses                 |       9567 |       9692 |       7909 |       9922
    miss rate                        |     14.53% |     14.02% |     12.81% |     14.57%
    mpki                             |      82.04 |      78.68 |      72.94 |      81.88
  Cache L2                           |            |            |            |           
    num cache accesses               |       9718 |       9826 |       8093 |      10115
    num cache misses                 |          9 |          9 |         14 |         11
    miss rate                        |      0.09% |      0.09% |      0.17% |      0.11%
    mpki                             |       0.08 |       0.07 |       0.13 |       0.09
  Cache L3                           |            |            |            |           
    num cache accesses               |         10 |         11 |         17 |         13
    num cache misses                 |          9 |          9 |         14 |         11
    miss rate                        |     90.00% |     81.82% |     82.35% |     84.62%
    mpki                             |       0.08 |       0.07 |       0.13 |       0.09
DRAM summary                         |            |            |            |           
  num dram accesses                  |         36 |          0 |          0 |          0
  average dram access latency (ns)   |     121.67 |        inf |        inf |        inf
  average dram queueing delay        |      68.24 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          2 |          3 |          5 |          3
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
