                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |    3696633 |    4757159 |    4411323 |    4539498 |    3274976 |    3583827 |    4783766 |    4647217
  Cycles                             |   30136675 |   30136675 |   30136675 |   30136675 |   30136675 |   30136675 |   30136675 |   30136675
  IPC                                |       0.12 |       0.16 |       0.15 |       0.15 |       0.11 |       0.12 |       0.16 |       0.15
  Time (ns)                          |   11329577 |   11329577 |   11329577 |   11329577 |   11329577 |   11329577 |   11329577 |   11329577
  Idle time (ns)                     |    1681507 |      24536 |     904572 |    1037730 |    2768707 |    2132667 |       1929 |     335835
  Idle time (%)                      |      14.8% |       0.2% |       8.0% |       9.2% |      24.4% |      18.8% |       0.0% |       3.0%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |     493240 |     669947 |     612316 |     633695 |     422976 |     474422 |     674362 |     651616
  num incorrect                      |        207 |        255 |        243 |        230 |        196 |        222 |        271 |        262
  misprediction rate                 |      0.04% |      0.04% |      0.04% |      0.04% |      0.05% |      0.05% |      0.04% |      0.04%
  mpki                               |       0.06 |       0.05 |       0.06 |       0.05 |       0.06 |       0.06 |       0.06 |       0.06
TLB Summary                          |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |      11023 |      11028 |      11031 |      11028 |      11024 |      11028 |      11029 |      11024
    num cache misses                 |         17 |         17 |         17 |         17 |         17 |         17 |         17 |         17
    miss rate                        |      0.15% |      0.15% |      0.15% |      0.15% |      0.15% |      0.15% |      0.15% |      0.15%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.01 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |    2103347 |    2633612 |    2460684 |    2524781 |    1892528 |    2046940 |    2646902 |    2578647
    num cache misses                 |     550012 |     531048 |     523847 |     525803 |     364931 |     415672 |     541033 |     547938
    miss rate                        |     26.15% |     20.16% |     21.29% |     20.83% |     19.28% |     20.31% |     20.44% |     21.25%
    mpki                             |     148.79 |     111.63 |     118.75 |     115.83 |     111.43 |     115.99 |     113.10 |     117.91
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |     550071 |     531136 |     523923 |     525875 |     364956 |     415694 |     541060 |     547967
    num cache misses                 |     293675 |     261734 |     227912 |     221615 |     219804 |     234304 |     286942 |     264087
    miss rate                        |     53.39% |     49.28% |     43.50% |     42.14% |     60.23% |     56.36% |     53.03% |     48.19%
    mpki                             |      79.44 |      55.02 |      51.67 |      48.82 |      67.12 |      65.38 |      59.98 |      56.83
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |     293709 |     261799 |     227962 |     221663 |     219805 |     234305 |     286943 |     264088
    num cache misses                 |          9 |          4 |         11 |          4 |          6 |         10 |         13 |          5
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |         48 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     110.04 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      56.61 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |          4 |          2 |          2 |          1 |          2 |          6 |          5 |          3
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
