                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |     115743 |     151924 |     157357 |     160388 |     132480 |     147405 |     151621 |     135877 |     142143 |     146869 |     131221 |     120649 |     140212 |     160929 |     156978 |     142662
  Cycles                             |    1895073 |    1895073 |    1895073 |    1895073 |    1895073 |    1895073 |    1895073 |    1895073 |    1895073 |    1895073 |    1895073 |    1895073 |    1895073 |    1895073 |    1895073 |    1895073
  IPC                                |       0.06 |       0.08 |       0.08 |       0.08 |       0.07 |       0.08 |       0.08 |       0.07 |       0.08 |       0.08 |       0.07 |       0.06 |       0.07 |       0.08 |       0.08 |       0.08
  Time (ns)                          |     712434 |     712434 |     712434 |     712434 |     712434 |     712434 |     712434 |     712434 |     712434 |     712434 |     712434 |     712434 |     712434 |     712434 |     712434 |     712434
  Idle time (ns)                     |     296154 |      34408 |      10376 |       5622 |     170386 |      64909 |      42855 |     137850 |     119672 |      81207 |     185244 |     257044 |     120471 |       7397 |      17536 |      93717
  Idle time (%)                      |      41.6% |       4.8% |       1.5% |       0.8% |      23.9% |       9.1% |       6.0% |      19.3% |      16.8% |      11.4% |      26.0% |      36.1% |      16.9% |       1.0% |       2.5% |      13.2%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |      11992 |      18000 |      18891 |      19369 |      14801 |      17271 |      17956 |      15350 |      16324 |      17142 |      14583 |      12813 |      16045 |      19500 |      18814 |      16443
  num incorrect                      |        140 |        163 |        177 |        209 |        120 |        139 |        161 |        143 |        209 |        183 |        133 |        142 |        166 |        164 |        196 |        177
  misprediction rate                 |      1.15% |      0.90% |      0.93% |      1.07% |      0.80% |      0.80% |      0.89% |      0.92% |      1.26% |      1.06% |      0.90% |      1.10% |      1.02% |      0.83% |      1.03% |      1.06%
  mpki                               |       1.21 |       1.07 |       1.12 |       1.30 |       0.91 |       0.94 |       1.06 |       1.05 |       1.47 |       1.25 |       1.01 |       1.18 |       1.18 |       1.02 |       1.25 |       1.24
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      11023 |      11027 |      11027 |      11015 |      11032 |      11027 |      11018 |      11018 |      11027 |      11018 |      11020 |      11018 |      11027 |      11027 |      11018 |      11027
    num cache misses                 |         17 |         17 |         17 |         16 |         18 |         17 |         17 |         17 |         17 |         17 |         17 |         17 |         17 |         17 |         17 |         17
    miss rate                        |      0.15% |      0.15% |      0.15% |      0.15% |      0.16% |      0.15% |      0.15% |      0.15% |      0.15% |      0.15% |      0.15% |      0.15% |      0.15% |      0.15% |      0.15% |      0.15%
    mpki                             |       0.15 |       0.11 |       0.11 |       0.10 |       0.14 |       0.12 |       0.11 |       0.13 |       0.12 |       0.12 |       0.13 |       0.14 |       0.12 |       0.11 |       0.11 |       0.12
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      65402 |      83494 |      86209 |      87735 |      73763 |      81235 |      83351 |      75479 |      78604 |      80975 |      73150 |      67865 |      77638 |      87997 |      86030 |      78865
    num cache misses                 |      13203 |      18656 |      19569 |      19839 |      14771 |      18225 |      19118 |      16168 |      18866 |      17639 |      14590 |      12444 |      16197 |      19763 |      19480 |      17224
    miss rate                        |     20.19% |     22.34% |     22.70% |     22.61% |     20.02% |     22.43% |     22.94% |     21.42% |     24.00% |     21.78% |     19.95% |     18.34% |     20.86% |     22.46% |     22.64% |     21.84%
    mpki                             |     114.07 |     122.80 |     124.36 |     123.69 |     111.50 |     123.64 |     126.09 |     118.99 |     132.73 |     120.10 |     111.19 |     103.14 |     115.52 |     122.81 |     124.09 |     120.73
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      13531 |      19053 |      20019 |      20289 |      15052 |      18627 |      19514 |      16523 |      19331 |      18045 |      14966 |      12789 |      16503 |      20215 |      19851 |      17586
    num cache misses                 |      13226 |      18678 |      19593 |      19865 |      14794 |      18251 |      19143 |      16196 |      18887 |      17665 |      14613 |      12468 |      16227 |      19793 |      19510 |      17248
    miss rate                        |     97.75% |     98.03% |     97.87% |     97.91% |     98.29% |     97.98% |     98.10% |     98.02% |     97.70% |     97.89% |     97.64% |     97.49% |     98.33% |     97.91% |     98.28% |     98.08%
    mpki                             |     114.27 |     122.94 |     124.51 |     123.86 |     111.67 |     123.82 |     126.26 |     119.20 |     132.87 |     120.28 |     111.36 |     103.34 |     115.73 |     122.99 |     124.28 |     120.90
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      13531 |      19053 |      20019 |      20289 |      15052 |      18627 |      19514 |      16523 |      19331 |      18045 |      14966 |      12789 |      16503 |      20215 |      19851 |      17586
    num cache misses                 |       5918 |      11365 |      11564 |      11397 |       8396 |      10279 |      10641 |       9043 |       8294 |      10375 |       8438 |       7188 |       9158 |      11659 |      11364 |       9562
    miss rate                        |     43.74% |     59.65% |     57.77% |     56.17% |     55.78% |     55.18% |     54.53% |     54.73% |     42.91% |     57.50% |     56.38% |     56.20% |     55.49% |     57.67% |     57.25% |     54.37%
    mpki                             |      51.13 |      74.81 |      73.49 |      71.06 |      63.38 |      69.73 |      70.18 |      66.55 |      58.35 |      70.64 |      64.30 |      59.58 |      65.32 |      72.45 |      72.39 |      67.03
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |         73 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     151.98 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      98.55 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |          2 |          2 |          3 |          2 |          5 |          2 |          2 |          2 |          2 |          2 |          2 |          3 |          2 |          3 |          4 |          2
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |       4094 |       7931 |       8288 |       8219 |       6000 |       7493 |       7784 |       6468 |       5999 |       7228 |       5949 |       5089 |       6588 |       7998 |       7966 |       6990
