                                     | Core 0    
  Instructions                       |     183039
  Cycles                             |     483188
  IPC                                |       0.38
  Time (ns)                          |     181650
  Idle time (ns)                     |      98317
  Idle time (%)                      |      54.1%
Branch predictor stats               |           
  num correct                        |      13005
  num incorrect                      |          9
  misprediction rate                 |      0.07%
  mpki                               |       0.05
TLB Summary                          |           
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |      30020
    num cache misses                 |         15
    miss rate                        |      0.05%
    mpki                             |       0.08
  Cache L1-D                         |           
    num cache accesses               |     122049
    num cache misses                 |          9
    miss rate                        |      0.01%
    mpki                             |       0.05
  Cache L2                           |           
    num cache accesses               |         26
    num cache misses                 |         24
    miss rate                        |     92.31%
    mpki                             |       0.13
  Cache L3                           |           
    num cache accesses               |         26
    num cache misses                 |         24
    miss rate                        |     92.31%
    mpki                             |       0.13
DRAM summary                         |           
  num dram accesses                  |         24
  average dram access latency (ns)   |     120.21
  average dram queueing delay        |      66.79
  average dram bandwidth utilization |      0.00%
Coherency Traffic                    |           
  num loads from dram                |          6
  num loads from dram cache          |          0
  num loads from remote cache        |          0
