                                     | Core 0     | Core 1    
  Instructions                       |     352559 |     319190
  Cycles                             |     599241 |     599241
  IPC                                |       0.59 |       0.53
  Time (ns)                          |     225279 |     225279
  Idle time (ns)                     |     101405 |     105940
  Idle time (%)                      |      45.0% |      47.0%
Branch predictor stats               |            |           
  num correct                        |      46551 |      39862
  num incorrect                      |        367 |        388
  misprediction rate                 |      0.78% |      0.96%
  mpki                               |       1.04 |       1.22
TLB Summary                          |            |           
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |      30020 |      30021
    num cache misses                 |         15 |         16
    miss rate                        |      0.05% |      0.05%
    mpki                             |       0.04 |       0.05
  Cache L1-D                         |            |           
    num cache accesses               |     223761 |     203754
    num cache misses                 |       2476 |       2450
    miss rate                        |      1.11% |      1.20%
    mpki                             |       7.02 |       7.68
  Cache L2                           |            |           
    num cache accesses               |       2822 |       2821
    num cache misses                 |         21 |          7
    miss rate                        |      0.74% |      0.25%
    mpki                             |       0.06 |       0.02
  Cache L3                           |            |           
    num cache accesses               |         23 |          9
    num cache misses                 |         21 |          7
    miss rate                        |     91.30% |     77.78%
    mpki                             |       0.06 |       0.02
DRAM summary                         |            |           
  num dram accesses                  |         28 |          0
  average dram access latency (ns)   |      89.44 |        inf
  average dram queueing delay        |      36.01 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |          5 |          3
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
