                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |     444354 |     391797 |     513416 |     451112 |     373560 |     443891 |     362567 |     514758
  Cycles                             |    2944027 |    2944027 |    2944027 |    2944027 |    2944027 |    2944027 |    2944027 |    2944027
  IPC                                |       0.15 |       0.13 |       0.17 |       0.15 |       0.13 |       0.15 |       0.12 |       0.17
  Time (ns)                          |    1106777 |    1106777 |    1106777 |    1106777 |    1106777 |    1106777 |    1106777 |    1106777
  Idle time (ns)                     |       3050 |     275746 |      20590 |     198179 |     169090 |      15783 |     373104 |      12933
  Idle time (%)                      |       0.3% |      24.9% |       1.9% |      17.9% |      15.3% |       1.4% |      33.7% |       1.2%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |      65058 |      54556 |      78867 |      66434 |      50941 |      64925 |      48739 |      79121
  num incorrect                      |        219 |        206 |        230 |        194 |        181 |        259 |        183 |        238
  misprediction rate                 |      0.34% |      0.38% |      0.29% |      0.29% |      0.35% |      0.40% |      0.37% |      0.30%
  mpki                               |       0.49 |       0.53 |       0.45 |       0.43 |       0.48 |       0.58 |       0.50 |       0.46
TLB Summary                          |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |      30020 |      30034 |      30021 |      30031 |      30024 |      30030 |      30025 |      30025
    num cache misses                 |         15 |         17 |         17 |         17 |         17 |         17 |         17 |         17
    miss rate                        |      0.05% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06%
    mpki                             |       0.03 |       0.04 |       0.03 |       0.04 |       0.05 |       0.04 |       0.05 |       0.03
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |     278838 |     247293 |     320292 |     282885 |     236360 |     278551 |     229764 |     321077
    num cache misses                 |      62275 |      42395 |      56474 |      48957 |      42779 |      51747 |      36153 |      54775
    miss rate                        |     22.33% |     17.14% |     17.63% |     17.31% |     18.10% |     18.58% |     15.73% |     17.06%
    mpki                             |     140.15 |     108.21 |     110.00 |     108.53 |     114.52 |     116.58 |      99.71 |     106.41
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |      62343 |      42513 |      56582 |      49042 |      42884 |      51899 |      36303 |      54932
    num cache misses                 |      35548 |      20791 |      27671 |      22357 |      26859 |      30826 |      19371 |      29115
    miss rate                        |     57.02% |     48.91% |     48.90% |     45.59% |     62.63% |     59.40% |     53.36% |     53.00%
    mpki                             |      80.00 |      53.07 |      53.90 |      49.56 |      71.90 |      69.44 |      53.43 |      56.56
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |      35585 |      20847 |      27731 |      22399 |      26930 |      30949 |      19461 |      29226
    num cache misses                 |          8 |         15 |          4 |          7 |         11 |          8 |          9 |          7
    miss rate                        |      0.02% |      0.07% |      0.01% |      0.03% |      0.04% |      0.03% |      0.05% |      0.02%
    mpki                             |       0.02 |       0.04 |       0.01 |       0.02 |       0.03 |       0.02 |       0.02 |       0.01
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |         48 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     134.70 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      81.28 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |          2 |          6 |          2 |          5 |          2 |          4 |          2 |          4
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
