                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |     534605 |     427376 |     556713 |     533686 |     617347 |     459894 |     383401 |     487803 |     511552 |     510537 |     516816 |     432946 |     451997 |     566757 |     514436 |     371631
  Cycles                             |    8499428 |    8499428 |    8499428 |    8499428 |    8499428 |    8499428 |    8499428 |    8499428 |    8499428 |    8499428 |    8499428 |    8499428 |    8499428 |    8499428 |    8499428 |    8499428
  IPC                                |       0.06 |       0.05 |       0.07 |       0.06 |       0.07 |       0.05 |       0.05 |       0.06 |       0.06 |       0.06 |       0.06 |       0.05 |       0.05 |       0.07 |       0.06 |       0.04
  Time (ns)                          |    3195274 |    3195274 |    3195274 |    3195274 |    3195274 |    3195274 |    3195274 |    3195274 |    3195274 |    3195274 |    3195274 |    3195274 |    3195274 |    3195274 |    3195274 |    3195274
  Idle time (ns)                     |     116805 |     872056 |       7118 |      45025 |       5540 |     583106 |    1232657 |     373532 |     317155 |     266301 |     200277 |     862267 |     677666 |      76628 |     202832 |    1349097
  Idle time (%)                      |       3.7% |      27.3% |       0.2% |       1.4% |       0.2% |      18.2% |      38.6% |      11.7% |       9.9% |       8.3% |       6.3% |      27.0% |      21.2% |       2.4% |       6.3% |      42.2%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |      83148 |      61687 |      87483 |      82921 |      99634 |      68235 |      52954 |      73761 |      78506 |      78321 |      79564 |      62809 |      66636 |      89528 |      79102 |      50600
  num incorrect                      |        180 |        203 |        269 |        231 |        244 |        158 |        141 |        209 |        217 |        199 |        214 |        195 |        176 |        236 |        200 |        141
  misprediction rate                 |      0.22% |      0.33% |      0.31% |      0.28% |      0.24% |      0.23% |      0.27% |      0.28% |      0.28% |      0.25% |      0.27% |      0.31% |      0.26% |      0.26% |      0.25% |      0.28%
