                                     | Core 0     | Core 1    
  Instructions                       |    7532300 |    7625570
  Cycles                             |    6918622 |    6918622
  IPC                                |       1.09 |       1.10
  Time (ns)                          |    2600986 |    2600986
  Idle time (ns)                     |     118867 |     101458
  Idle time (%)                      |       4.6% |       3.9%
Branch predictor stats               |            |           
  num correct                        |    1647114 |    1670416
  num incorrect                      |        458 |        480
  misprediction rate                 |      0.03% |      0.03%
  mpki                               |       0.06 |       0.06
TLB Summary                          |            |           
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |     212045 |     212042
    num cache misses                 |         17 |         17
    miss rate                        |      0.01% |      0.01%
    mpki                             |       0.00 |       0.00
  Cache L1-D                         |            |           
    num cache accesses               |    4021175 |    4067818
    num cache misses                 |       2459 |       2754
    miss rate                        |      0.06% |      0.07%
    mpki                             |       0.33 |       0.36
  Cache L2                           |            |           
    num cache accesses               |       3563 |       3563
    num cache misses                 |         25 |          7
    miss rate                        |      0.70% |      0.20%
    mpki                             |       0.00 |       0.00
  Cache L3                           |            |           
    num cache accesses               |         27 |          9
    num cache misses                 |         25 |          7
    miss rate                        |     92.59% |     77.78%
    mpki                             |       0.00 |       0.00
DRAM summary                         |            |           
  num dram accesses                  |         30 |          0
  average dram access latency (ns)   |      99.69 |        inf
  average dram queueing delay        |      46.26 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |          5 |          3
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
