                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |     572429 |     707866 |     757498 |     727199 |     648347 |     592340 |     544904 |     762288
  Cycles                             |     619453 |     619453 |     619453 |     619453 |     619453 |     619453 |     619453 |     619453
  IPC                                |       0.92 |       1.14 |       1.22 |       1.17 |       1.05 |       0.96 |       0.88 |       1.23
  Time (ns)                          |     232877 |     232877 |     232877 |     232877 |     232877 |     232877 |     232877 |     232877
  Idle time (ns)                     |       7764 |       3375 |       3668 |       8738 |       2179 |      19993 |      41900 |       1880
  Idle time (%)                      |       3.3% |       1.4% |       1.6% |       3.8% |       0.9% |       8.6% |      18.0% |       0.8%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |     129776 |     163628 |     176058 |     168491 |     148917 |     134771 |     123003 |     177159
  num incorrect                      |        559 |        577 |        558 |        547 |        406 |        556 |        465 |        641
  misprediction rate                 |      0.43% |      0.35% |      0.32% |      0.32% |      0.27% |      0.41% |      0.38% |      0.36%
  mpki                               |       0.98 |       0.82 |       0.74 |       0.75 |       0.63 |       0.94 |       0.85 |       0.84
TLB Summary                          |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |      14095 |      14072 |      14076 |      14086 |      14076 |      14078 |      14075 |      14093
    num cache misses                 |         17 |         18 |         17 |         18 |         18 |         18 |         18 |         18
    miss rate                        |      0.12% |      0.13% |      0.12% |      0.13% |      0.13% |      0.13% |      0.13% |      0.13%
    mpki                             |       0.03 |       0.03 |       0.02 |       0.02 |       0.03 |       0.03 |       0.03 |       0.02
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |     293726 |     361448 |     386271 |     371119 |     331686 |     303696 |     279978 |     388651
    num cache misses                 |       7820 |       8520 |       8704 |       8554 |       8650 |       8226 |       7205 |       8936
    miss rate                        |      2.66% |      2.36% |      2.25% |      2.30% |      2.61% |      2.71% |      2.57% |      2.30%
    mpki                             |      13.66 |      12.04 |      11.49 |      11.76 |      13.34 |      13.89 |      13.22 |      11.72
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |       9192 |       9370 |       9521 |       9359 |       9555 |       9127 |       8157 |       9759
    num cache misses                 |       2618 |       1871 |       1354 |       1302 |       2338 |       2127 |       1656 |       1427
    miss rate                        |     28.48% |     19.97% |     14.22% |     13.91% |     24.47% |     23.30% |     20.30% |     14.62%
    mpki                             |       4.57 |       2.64 |       1.79 |       1.79 |       3.61 |       3.59 |       3.04 |       1.87
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |       3776 |       2508 |       1969 |       2020 |       3031 |       2796 |       2385 |       2065
    num cache misses                 |          6 |          6 |         15 |          4 |          5 |          5 |          6 |         12
    miss rate                        |      0.16% |      0.24% |      0.76% |      0.20% |      0.16% |      0.18% |      0.25% |      0.58%
    mpki                             |       0.01 |       0.01 |       0.02 |       0.01 |       0.01 |       0.01 |       0.01 |       0.02
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |         49 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     156.78 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |     103.35 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |          3 |          3 |          4 |          1 |          3 |          3 |          3 |          2
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
