                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |    6117359 |    5306803 |    5769062 |    6039687 |    6235637 |    6166955 |    6114900 |    5979185 |    6027321 |    6034142 |    6120366 |    4681004 |    6259845 |    5921314 |    6065515 |    6122794
  Cycles                             |    5583235 |    5583235 |    5583235 |    5583235 |    5583235 |    5583235 |    5583235 |    5583235 |    5583235 |    5583235 |    5583235 |    5583235 |    5583235 |    5583235 |    5583235 |    5583235
  IPC                                |       1.10 |       0.95 |       1.03 |       1.08 |       1.12 |       1.10 |       1.10 |       1.07 |       1.08 |       1.08 |       1.10 |       0.84 |       1.12 |       1.06 |       1.09 |       1.10
  Time (ns)                          |    2098961 |    2098961 |    2098961 |    2098961 |    2098961 |    2098961 |    2098961 |    2098961 |    2098961 |    2098961 |    2098961 |    2098961 |    2098961 |    2098961 |    2098961 |    2098961
  Idle time (ns)                     |      39857 |     314601 |     167955 |      63958 |       5601 |      36573 |      29243 |      73795 |      58679 |      93221 |      57614 |     518642 |      15831 |     118017 |      72881 |      39550
  Idle time (%)                      |       1.9% |      15.0% |       8.0% |       3.0% |       0.3% |       1.7% |       1.4% |       3.5% |       2.8% |       4.4% |       2.7% |      24.7% |       0.8% |       5.6% |       3.5% |       1.9%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    1495477 |    1292773 |    1408424 |    1475993 |    1525163 |    1507856 |    1494796 |    1460896 |    1472980 |    1474645 |    1496146 |    1136477 |    1531084 |    1446399 |    1482462 |    1496824
  num incorrect                      |        841 |        903 |        818 |        911 |        734 |        867 |        905 |        884 |        840 |        876 |        933 |        766 |        869 |        907 |        902 |        858
  misprediction rate                 |      0.06% |      0.07% |      0.06% |      0.06% |      0.05% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.07% |      0.06% |      0.06% |      0.06% |      0.06%
  mpki                               |       0.14 |       0.17 |       0.14 |       0.15 |       0.12 |       0.14 |       0.15 |       0.15 |       0.14 |       0.15 |       0.15 |       0.16 |       0.14 |       0.15 |       0.15 |       0.14
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
