                                     | Core 0     | Core 1    
  Instructions                       |    7600731 |    7441643
  Cycles                             |    6891818 |    6891818
  IPC                                |       1.10 |       1.08
  Time (ns)                          |    2590909 |    2590909
  Idle time (ns)                     |     100101 |     129865
  Idle time (%)                      |       3.9% |       5.0%
Branch predictor stats               |            |           
  num correct                        |    1664446 |    1624675
  num incorrect                      |        487 |        496
  misprediction rate                 |      0.03% |      0.03%
  mpki                               |       0.06 |       0.07
TLB Summary                          |            |           
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |      11036 |      11032
    num cache misses                 |         16 |         17
    miss rate                        |      0.14% |      0.15%
    mpki                             |       0.00 |       0.00
  Cache L1-D                         |            |           
    num cache accesses               |    4055895 |    3976363
    num cache misses                 |       2670 |       2725
    miss rate                        |      0.07% |      0.07%
    mpki                             |       0.35 |       0.37
  Cache L2                           |            |           
    num cache accesses               |       3694 |       3694
    num cache misses                 |         22 |          8
    miss rate                        |      0.60% |      0.22%
    mpki                             |       0.00 |       0.00
  Cache L3                           |            |           
    num cache accesses               |         24 |         10
    num cache misses                 |         22 |          8
    miss rate                        |     91.67% |     80.00%
    mpki                             |       0.00 |       0.00
DRAM summary                         |            |           
  num dram accesses                  |         29 |          0
  average dram access latency (ns)   |      92.21 |        inf
  average dram queueing delay        |      38.78 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |          6 |          2
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
