                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |     234733 |     206796 |     227632 |     222350
  Cycles                             |     415713 |     415713 |     415713 |     415713
  IPC                                |       0.56 |       0.50 |       0.55 |       0.53
  Time (ns)                          |     156283 |     156283 |     156283 |     156283
  Idle time (ns)                     |     101762 |     109629 |     102939 |     102128
  Idle time (%)                      |      65.1% |      70.1% |      65.9% |      65.3%
Branch predictor stats               |            |            |            |           
  num correct                        |      45624 |      38777 |      43850 |      42447
  num incorrect                      |        558 |        433 |        564 |        649
  misprediction rate                 |      1.21% |      1.10% |      1.27% |      1.51%
  mpki                               |       2.38 |       2.09 |       2.48 |       2.92
TLB Summary                          |            |            |            |           
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |      11042 |      11029 |      11049 |      11037
    num cache misses                 |         16 |         18 |         18 |         18
    miss rate                        |      0.14% |      0.16% |      0.16% |      0.16%
    mpki                             |       0.07 |       0.09 |       0.08 |       0.08
  Cache L1-D                         |            |            |            |           
    num cache accesses               |     125396 |     111438 |     121856 |     119214
    num cache misses                 |       4742 |       3901 |       4647 |       4848
    miss rate                        |      3.78% |      3.50% |      3.81% |      4.07%
    mpki                             |      20.20 |      18.86 |      20.41 |      21.80
  Cache L2                           |            |            |            |           
    num cache accesses               |       5611 |       4773 |       5382 |       5576
    num cache misses                 |         18 |         13 |         10 |          8
    miss rate                        |      0.32% |      0.27% |      0.19% |      0.14%
    mpki                             |       0.08 |       0.06 |       0.04 |       0.04
  Cache L3                           |            |            |            |           
    num cache accesses               |         19 |         16 |         12 |         10
    num cache misses                 |         18 |         13 |         10 |          8
    miss rate                        |     94.74% |     81.25% |     83.33% |     80.00%
    mpki                             |       0.08 |       0.06 |       0.04 |       0.04
DRAM summary                         |            |            |            |           
  num dram accesses                  |         36 |          0 |          0 |          0
  average dram access latency (ns)   |     110.66 |        inf |        inf |        inf
  average dram queueing delay        |      57.23 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          4 |          3 |          3 |          2
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
