                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |    3027493 |    3681288 |    3471219 |    3321803 |    3523883 |    3435618 |    3365647 |    3535674
  Cycles                             |    2370071 |    2370071 |    2370071 |    2370071 |    2370071 |    2370071 |    2370071 |    2370071
  IPC                                |       1.28 |       1.55 |       1.46 |       1.40 |       1.49 |       1.45 |       1.42 |       1.49
  Time (ns)                          |     891005 |     891005 |     891005 |     891005 |     891005 |     891005 |     891005 |     891005
  Idle time (ns)                     |      46303 |       2927 |      48420 |      62451 |      22802 |      26736 |      52191 |      48848
  Idle time (%)                      |       5.2% |       0.3% |       5.4% |       7.0% |       2.6% |       3.0% |       5.9% |       5.5%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |     722771 |     886470 |     833896 |     796465 |     846957 |     824898 |     807343 |     849996
  num incorrect                      |       1331 |       1093 |       1155 |       1233 |       1259 |       1246 |       1311 |       1166
  misprediction rate                 |      0.18% |      0.12% |      0.14% |      0.15% |      0.15% |      0.15% |      0.16% |      0.14%
  mpki                               |       0.44 |       0.30 |       0.33 |       0.37 |       0.36 |       0.36 |       0.39 |       0.33
TLB Summary                          |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |      11129 |      11102 |      11088 |      11083 |      11091 |      11115 |      11106 |      11100
    num cache misses                 |         17 |         17 |         17 |         18 |         18 |         18 |         17 |         17
    miss rate                        |      0.15% |      0.15% |      0.15% |      0.16% |      0.16% |      0.16% |      0.15% |      0.15%
    mpki                             |       0.01 |       0.00 |       0.00 |       0.01 |       0.01 |       0.01 |       0.01 |       0.00
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |    1544277 |    1871183 |    1766151 |    1691441 |    1792481 |    1748349 |    1713364 |    1798377
    num cache misses                 |      11385 |      11702 |      11463 |      11119 |      10141 |      10146 |       9633 |       9333
    miss rate                        |      0.74% |      0.63% |      0.65% |      0.66% |      0.57% |      0.58% |      0.56% |      0.52%
    mpki                             |       3.76 |       3.18 |       3.30 |       3.35 |       2.88 |       2.95 |       2.86 |       2.64
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |      12817 |      12332 |      12326 |      12073 |      11230 |      11291 |      10767 |      10376
    num cache misses                 |       4536 |       1566 |        777 |        901 |       1975 |       1940 |       1696 |        977
    miss rate                        |     35.39% |     12.70% |      6.30% |      7.46% |     17.59% |     17.18% |     15.75% |      9.42%
    mpki                             |       1.50 |       0.43 |       0.22 |       0.27 |       0.56 |       0.56 |       0.50 |       0.28
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |       5580 |       1907 |       1133 |       1555 |       2782 |       2943 |       2669 |       1773
    num cache misses                 |         21 |         10 |          4 |         12 |          8 |          6 |          4 |          4
    miss rate                        |      0.38% |      0.52% |      0.35% |      0.77% |      0.29% |      0.20% |      0.15% |      0.23%
    mpki                             |       0.01 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |         49 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     119.32 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      65.89 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |          4 |          5 |          2 |          4 |          4 |          4 |          4 |          4
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
