                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |   89247255 |   83062175 |   81821821 |   87804525 |   84111267 |   89117397 |   84053823 |   87759789 |   88879117 |   83625596 |   76842052 |   85343833 |   88850584 |   80590838 |   87269769 |   86493612
  Cycles                             |   50025911 |   50025911 |   50025911 |   50025911 |   50025911 |   50025911 |   50025911 |   50025911 |   50025911 |   50025911 |   50025911 |   50025911 |   50025911 |   50025911 |   50025911 |   50025911
  IPC                                |       1.78 |       1.66 |       1.64 |       1.76 |       1.68 |       1.78 |       1.68 |       1.75 |       1.78 |       1.67 |       1.54 |       1.71 |       1.78 |       1.61 |       1.74 |       1.73
  Time (ns)                          |   18806734 |   18806734 |   18806734 |   18806734 |   18806734 |   18806734 |   18806734 |   18806734 |   18806734 |   18806734 |   18806734 |   18806734 |   18806734 |   18806734 |   18806734 |   18806734
  Idle time (ns)                     |       5538 |    1271338 |    1512454 |     318087 |    1075329 |      70521 |    1093664 |     326779 |      82088 |    1164472 |    2513953 |     825132 |     110198 |    1780171 |     445958 |     615579
  Idle time (%)                      |       0.0% |       6.8% |       8.0% |       1.7% |       5.7% |       0.4% |       5.8% |       1.7% |       0.4% |       6.2% |      13.4% |       4.4% |       0.6% |       9.5% |       2.4% |       3.3%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |   22075103 |   20528864 |   20218755 |   21714362 |   20791147 |   22042467 |   20776758 |   21703234 |   21982927 |   20669701 |   18973860 |   21099208 |   21975945 |   19910982 |   21580604 |   21386659
  num incorrect                      |       1434 |       1414 |       1425 |       1489 |       1394 |       1607 |       1438 |       1429 |       1569 |       1434 |       1389 |       1474 |       1432 |       1457 |       1563 |       1469
  misprediction rate                 |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
  mpki                               |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      11144 |      11118 |      11125 |      11145 |      11127 |      11129 |      11089 |      11161 |      11161 |      11108 |      11106 |      11131 |      11126 |      11109 |      11151 |      11127
    num cache misses                 |         16 |         18 |         19 |         19 |         19 |         19 |         18 |         19 |         19 |         18 |         18 |         19 |         18 |         19 |         18 |         19
    miss rate                        |      0.14% |      0.16% |      0.17% |      0.17% |      0.17% |      0.17% |      0.16% |      0.17% |      0.17% |      0.16% |      0.16% |      0.17% |      0.16% |      0.17% |      0.16% |      0.17%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |   44879157 |   41786626 |   41166433 |   44157785 |   42311156 |   44814222 |   42282436 |   44135417 |   44695082 |   42068324 |   38676553 |   42927440 |   44680819 |   40550943 |   43890409 |   43502330
    num cache misses                 |      27472 |      25318 |      25009 |      26925 |      25592 |      27148 |      25387 |      26701 |      27220 |      25330 |      23315 |      25814 |      27021 |      24368 |      26372 |      25893
    miss rate                        |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06%
    mpki                             |       0.31 |       0.30 |       0.31 |       0.31 |       0.30 |       0.30 |       0.30 |       0.30 |       0.31 |       0.30 |       0.30 |       0.30 |       0.30 |       0.30 |       0.30 |       0.30
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      28662 |      26446 |      26146 |      28035 |      26711 |      28249 |      26498 |      27809 |      28449 |      26470 |      24426 |      26912 |      28143 |      25480 |      27489 |      26989
    num cache misses                 |      27488 |      25336 |      25028 |      26945 |      25611 |      27167 |      25405 |      26720 |      27239 |      25348 |      23333 |      25833 |      27039 |      24387 |      26390 |      25912
    miss rate                        |     95.90% |     95.80% |     95.72% |     96.11% |     95.88% |     96.17% |     95.88% |     96.08% |     95.75% |     95.76% |     95.53% |     95.99% |     96.08% |     95.71% |     96.00% |     96.01%
    mpki                             |       0.31 |       0.31 |       0.31 |       0.31 |       0.30 |       0.30 |       0.30 |       0.30 |       0.31 |       0.30 |       0.30 |       0.30 |       0.30 |       0.30 |       0.30 |       0.30
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      28662 |      26446 |      26146 |      28035 |      26711 |      28249 |      26498 |      27809 |      28449 |      26470 |      24426 |      26912 |      28143 |      25480 |      27489 |      26989
    num cache misses                 |      15046 |      13230 |      12955 |      14289 |      13024 |      14199 |      12655 |      14348 |      15020 |      13332 |      12010 |      13307 |      14349 |      12252 |      13521 |      13199
    miss rate                        |     52.49% |     50.03% |     49.55% |     50.97% |     48.76% |     50.26% |     47.76% |     51.59% |     52.80% |     50.37% |     49.17% |     49.45% |     50.99% |     48.08% |     49.19% |     48.91%
    mpki                             |       0.17 |       0.16 |       0.16 |       0.16 |       0.15 |       0.16 |       0.15 |       0.16 |       0.17 |       0.16 |       0.16 |       0.16 |       0.16 |       0.15 |       0.15 |       0.15
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |         74 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     177.45 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |     124.02 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |          2 |          2 |          3 |          3 |          2 |          2 |          2 |          5 |          4 |          4 |          2 |          2 |          2 |          4 |          2 |          4
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |       8426 |       7427 |       7323 |       8217 |       7674 |       8319 |       7449 |       8259 |       8100 |       7240 |       6621 |       7508 |       8211 |       7030 |       7835 |       7506
