                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |     101464 |     100541 |     100864 |     101356
  Cycles                             |    1121125 |    1121125 |    1121125 |    1121125
  IPC                                |       0.09 |       0.09 |       0.09 |       0.09
  Time (ns)                          |     421476 |     421476 |     421476 |     421476
  Idle time (ns)                     |     339373 |     345810 |     346242 |     345124
  Idle time (%)                      |      80.5% |      82.0% |      82.1% |      81.9%
Branch predictor stats               |            |            |            |           
  num correct                        |      10799 |      10772 |      10769 |      10806
  num incorrect                      |        580 |        527 |        561 |        564
  misprediction rate                 |      5.10% |      4.66% |      4.95% |      4.96%
  mpki                               |       5.72 |       5.24 |       5.56 |       5.56
TLB Summary                          |            |            |            |           
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |      15877 |      15797 |      15833 |      15846
    num cache misses                 |         22 |         23 |         23 |         22
    miss rate                        |      0.14% |      0.15% |      0.15% |      0.14%
    mpki                             |       0.22 |       0.23 |       0.23 |       0.22
  Cache L1-D                         |            |            |            |           
    num cache accesses               |      51210 |      50995 |      51073 |      51170
    num cache misses                 |       2393 |       2161 |       2127 |       2120
    miss rate                        |      4.67% |      4.24% |      4.16% |      4.14%
    mpki                             |      23.58 |      21.49 |      21.09 |      20.92
  Cache L2                           |            |            |            |           
    num cache accesses               |       3120 |       2897 |       2827 |       2843
    num cache misses                 |       2419 |       2193 |       2158 |       2151
    miss rate                        |     77.53% |     75.70% |     76.34% |     75.66%
    mpki                             |      23.84 |      21.81 |      21.40 |      21.22
  Cache L3                           |            |            |            |           
    num cache accesses               |       3120 |       2897 |       2827 |       2843
    num cache misses                 |         31 |          7 |          7 |          5
    miss rate                        |      0.99% |      0.24% |      0.25% |      0.18%
    mpki                             |       0.31 |       0.07 |       0.07 |       0.05
DRAM summary                         |            |            |            |           
  num dram accesses                  |         47 |          0 |          0 |          0
  average dram access latency (ns)   |     140.91 |        inf |        inf |        inf
  average dram queueing delay        |      87.49 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          8 |          5 |          4 |          5
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
