                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |     105466 |     113482 |     116033 |     112775
  Cycles                             |     402306 |     402306 |     402306 |     402306
  IPC                                |       0.26 |       0.28 |       0.29 |       0.28
  Time (ns)                          |     151243 |     151243 |     151243 |     151243
  Idle time (ns)                     |     109108 |     101809 |     103302 |     103139
  Idle time (%)                      |      72.1% |      67.3% |      68.3% |      68.2%
Branch predictor stats               |            |            |            |           
  num correct                        |      10266 |      11559 |      12047 |      11448
  num incorrect                      |        153 |        197 |        135 |        190
  misprediction rate                 |      1.47% |      1.68% |      1.11% |      1.63%
  mpki                               |       1.45 |       1.74 |       1.16 |       1.68
TLB Summary                          |            |            |            |           
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |      11023 |      11024 |      11023 |      11027
    num cache misses                 |         17 |         17 |         17 |         17
    miss rate                        |      0.15% |      0.15% |      0.15% |      0.15%
    mpki                             |       0.16 |       0.15 |       0.15 |       0.15
  Cache L1-D                         |            |            |            |           
    num cache accesses               |      60263 |      64273 |      65555 |      63919
    num cache misses                 |       7614 |       8608 |       8730 |       8468
    miss rate                        |     12.63% |     13.39% |     13.32% |     13.25%
    mpki                             |      72.19 |      75.85 |      75.24 |      75.09
  Cache L2                           |            |            |            |           
    num cache accesses               |       7781 |       8814 |       8888 |       8629
    num cache misses                 |         16 |          7 |         12 |          4
    miss rate                        |      0.21% |      0.08% |      0.14% |      0.05%
    mpki                             |       0.15 |       0.06 |       0.10 |       0.04
  Cache L3                           |            |            |            |           
    num cache accesses               |         17 |          9 |         15 |          6
    num cache misses                 |         16 |          7 |         12 |          4
    miss rate                        |     94.12% |     77.78% |     80.00% |     66.67%
    mpki                             |       0.15 |       0.06 |       0.10 |       0.04
DRAM summary                         |            |            |            |           
  num dram accesses                  |         35 |          0 |          0 |          0
  average dram access latency (ns)   |     111.29 |        inf |        inf |        inf
  average dram queueing delay        |      57.87 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          2 |          3 |          4 |          3
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
