                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |      98545 |      87048 |      97167 |      82090
  Cycles                             |     730118 |     730118 |     730118 |     730118
  IPC                                |       0.13 |       0.12 |       0.13 |       0.11
  Time (ns)                          |     274481 |     274481 |     274481 |     274481
  Idle time (ns)                     |     103840 |     128311 |     101776 |     141402
  Idle time (%)                      |      37.8% |      46.7% |      37.1% |      51.5%
Branch predictor stats               |            |            |            |           
  num correct                        |      10452 |       8154 |      10153 |       7158
  num incorrect                      |         64 |         65 |         89 |         71
  misprediction rate                 |      0.61% |      0.79% |      0.87% |      0.98%
  mpki                               |       0.65 |       0.75 |       0.92 |       0.86
TLB Summary                          |            |            |            |           
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |      12023 |      12023 |      12023 |      12022
    num cache misses                 |         16 |         16 |         16 |         16
    miss rate                        |      0.13% |      0.13% |      0.13% |      0.13%
    mpki                             |       0.16 |       0.18 |       0.16 |       0.19
  Cache L1-D                         |            |            |            |           
    num cache accesses               |      60554 |      53668 |      59731 |      50694
    num cache misses                 |       6418 |       5067 |       5800 |       4612
    miss rate                        |     10.60% |      9.44% |      9.71% |      9.10%
    mpki                             |      65.13 |      58.21 |      59.69 |      56.18
  Cache L2                           |            |            |            |           
    num cache accesses               |       6478 |       5139 |       5858 |       4680
    num cache misses                 |       6434 |       5083 |       5816 |       4628
    miss rate                        |     99.32% |     98.91% |     99.28% |     98.89%
    mpki                             |      65.29 |      58.39 |      59.86 |      56.38
  Cache L3                           |            |            |            |           
    num cache accesses               |       6478 |       5139 |       5858 |       4680
    num cache misses                 |       6434 |       5083 |       5816 |       4628
    miss rate                        |     99.32% |     98.91% |     99.28% |     98.89%
    mpki                             |      65.29 |      58.39 |      59.86 |      56.38
DRAM summary                         |            |            |            |           
  num dram accesses                  |         87 |          0 |          0 |          0
  average dram access latency (ns)   |     121.52 |        inf |        inf |        inf
  average dram queueing delay        |      68.09 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          6 |         12 |          9 |          6
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |         35 |         64 |         37 |         47
