                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |     106823 |      79675 |      90587 |      87790
  Cycles                             |     549929 |     549929 |     549929 |     549929
  IPC                                |       0.19 |       0.14 |       0.16 |       0.16
  Time (ns)                          |     206740 |     206740 |     206740 |     206740
  Idle time (ns)                     |     102798 |     148679 |     100808 |     104057
  Idle time (%)                      |      49.7% |      71.9% |      48.8% |      50.3%
Branch predictor stats               |            |            |            |           
  num correct                        |      13833 |       7090 |       9790 |       9094
  num incorrect                      |        119 |         74 |         98 |        103
  misprediction rate                 |      0.85% |      1.03% |      0.99% |      1.12%
  mpki                               |       1.11 |       0.93 |       1.08 |       1.17
TLB Summary                          |            |            |            |           
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |      14045 |      14043 |      14048 |      14039
    num cache misses                 |         17 |         19 |         19 |         17
    miss rate                        |      0.12% |      0.14% |      0.14% |      0.12%
    mpki                             |       0.16 |       0.24 |       0.21 |       0.19
  Cache L1-D                         |            |            |            |           
    num cache accesses               |      60935 |      47359 |      52812 |      51418
    num cache misses                 |       2797 |       1096 |       2067 |       1950
    miss rate                        |      4.59% |      2.31% |      3.91% |      3.79%
    mpki                             |      26.18 |      13.76 |      22.82 |      22.21
  Cache L2                           |            |            |            |           
    num cache accesses               |       3349 |       1656 |       2591 |       2572
    num cache misses                 |       2814 |       1115 |       2086 |       1967
    miss rate                        |     84.03% |     67.33% |     80.51% |     76.48%
    mpki                             |      26.34 |      13.99 |      23.03 |      22.41
  Cache L3                           |            |            |            |           
    num cache accesses               |       3349 |       1656 |       2591 |       2572
    num cache misses                 |       2814 |       1115 |       2086 |       1967
    miss rate                        |     84.03% |     67.33% |     80.51% |     76.48%
    mpki                             |      26.34 |      13.99 |      23.03 |      22.41
DRAM summary                         |            |            |            |           
  num dram accesses                  |       2358 |          0 |          0 |          0
  average dram access latency (ns)   |      64.04 |        inf |        inf |        inf
  average dram queueing delay        |      10.61 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      9.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |        316 |        273 |        748 |        703
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |       1843 |        345 |        806 |        649
